clip_name,rel_path,array,point_id
1267_oven14.mp3,audio/SBT-3-49/oven14/1267_oven14.mp3,SBT-3-49,SBT-3-49-29
1268_oven14.mp3,audio/SBT-3-49/oven14/1268_oven14.mp3,SBT-3-49,SBT-3-49-28
1269_oven14.mp3,audio/SBT-3-49/oven14/1269_oven14.mp3,SBT-3-49,SBT-3-49-34
1270_oven14.mp3,audio/SBT-3-49/oven14/1270_oven14.mp3,SBT-3-49,SBT-3-49-35
1271_oven14.mp3,audio/SBT-3-49/oven14/1271_oven14.mp3,SBT-3-49,SBT-3-49-33
1272_oven15.mp3,audio/SBT-3-49/oven15/1272_oven15.mp3,SBT-3-49,SBT-3-49-4
1273_oven15.mp3,audio/SBT-3-49/oven15/1273_oven15.mp3,SBT-3-49,SBT-3-49-50
1274_oven15.mp3,audio/SBT-3-49/oven15/1274_oven15.mp3,SBT-3-49,SBT-3-49-9
1275_oven15.mp3,audio/SBT-3-49/oven15/1275_oven15.mp3,SBT-3-49,SBT-3-49-10
1276_oven15.mp3,audio/SBT-3-49/oven15/1276_oven15.mp3,SBT-3-49,SBT-3-49-48
1277_oven15.mp3,audio/SBT-3-49/oven15/1277_oven15.mp3,SBT-3-49,SBT-3-49-5
1278_oven15.mp3,audio/SBT-3-49/oven15/1278_oven15.mp3,SBT-3-49,SBT-3-49-1
1279_oven15.mp3,audio/SBT-3-49/oven15/1279_oven15.mp3,SBT-3-49,SBT-3-49-46
1280_oven15.mp3,audio/SBT-3-49/oven15/1280_oven15.mp3,SBT-3-49,SBT-3-49-6
1281_oven15.mp3,audio/SBT-3-49/oven15/1281_oven15.mp3,SBT-3-49,SBT-3-49-7
1282_oven15.mp3,audio/SBT-3-49/oven15/1282_oven15.mp3,SBT-3-49,SBT-3-49-2
1283_oven14.mp3,audio/SBT-3-49/oven14/1283_oven14.mp3,SBT-3-49,SBT-3-49-33
1284_oven14.mp3,audio/SBT-3-49/oven14/1284_oven14.mp3,SBT-3-49,SBT-3-49-28
1285_oven14.mp3,audio/SBT-3-49/oven14/1285_oven14.mp3,SBT-3-49,SBT-3-49-32
1286_oven14.mp3,audio/SBT-3-49/oven14/1286_oven14.mp3,SBT-3-49,SBT-3-49-38
1287_oven14.mp3,audio/SBT-3-49/oven14/1287_oven14.mp3,SBT-3-49,SBT-3-49-29
1288_oven14.mp3,audio/SBT-3-49/oven14/1288_oven14.mp3,SBT-3-49,SBT-3-49-34
1289_oven14.mp3,audio/SBT-3-49/oven14/1289_oven14.mp3,SBT-3-49,SBT-3-49-35
